name,firstName,country,title,studio,duration,year,category,genre,award,addon,
LEWIS,Andrew,Gde Bretagne,Storm song (pour piano et bande),,0:14:25,1988,Mixte,,M,,
PARMERUD,Ake,Suède,Yan (for percussion et bande),,0:14:55,1988,Mixte,,1,,
TAKENAKA,Yasuhiro,Japon,Memory of the universe (pour percussions et bande),,0:16:50,1988,Mixte,,M,,
DESJARDIN,André-Luc,Canada,Là où mène le monde,,0:17:50,1988,Mixte,,M,,
AIKMAN,James,USA,Tragoida/Komoidia,,0:09:05,1988,Programme,,1,,
TRANQUILLINO,Armando,USA,Tragoida / Komoidia,,0:09:05,1988,Programme,,1,,
KLEIN,Judy,USA,From the journals of Felix Bosonnet,,0:09:15,1988,Programme,,M,,
LAKOMY,Reinhard,Allemagne,Morgen kommt der weihnachtsmann (le père noël vient demain),,0:09:48,1988,Programme,,M,,
MOORE,Adrian,Gde Bretagne,Credo Epochula,,0:10:30,1988,Programme,,M,,
VOIGTLAENDER,Lothar,Allemagne,Berlin report,,0:10:50,1988,Programme,,M,,
MANDOLINI,Ricardo,Argentine,Microrreflexiones,,0:18:14,1988,Programme,,2,,
NORMANDEAU,Robert,Canada,La chambre blanche,,0:24:12,1988,Programme,,M,,
POETTE,Jean-Christophe,France,La cinquième saison,,0:08:00,1988,Résidence,,R,,
BILLAUDEAU,Bruno,France,Cage d'escalier,,0:08:07,1988,Résidence,,R,,
RUDOLF,Robert,Tchéquie,Something to say (pour trompette et bande),,0:08:16,1988,Résidence,,R,,
FREEDMAN,Elliot,Canada,The Griffith Observer,,0:08:24,1988,Résidence,,R,,
LEE,Brent,Canada,Deliberate disguises,,0:12:40,1988,Résidence,,R,,
STRATOUDAKIS,Constantin,Grèce,Ultimate effort,,0:13:00,1988,Résidence,,R,,
D'ESCRIVAN,Julio,Venezuela,Salto Mortal,,0:08:04,1989,Électroacoustique,,2,EA,
PINTER,Gyula,Hongrie,Shrinking times,,0:09:28,1989,Électroacoustique,,M,,
